,,,Change Data from Wall-to-Wall mapping by GFC,,,,,,,,,,,,
,Drivers,units,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,Deforestation,,,,,,,,,,,,,,
Deforestation,Forestry infrastructure,ha, 186 , 240 , 330 , 204 , 313 , 313 , 227 , 356 , 226 , 195 , 228 , 155.6 ,
,Agriculture,, 41 , 440 , 424 , 817 , 379 , 379 , 477 , 512 , 246 , 489 , 216 , 281.6 ,
,Mining (medium and large scale),," 7,340 "," 13,664 "," 11,518 "," 10,434 "," 6,782 "," 6,782 "," 7,442 "," 7,624 "," 5,821 "," 6,452 "," 6,825 "," 5,264.3 ",
,Mining infrastructure,,,,,,,,,,,,,,
,Infrastructure,, 118 , 127 , 342 , 141 , 217 , 217 , 195 , 67 , 52 , 102 , 117 , 110.6 ,
,Settlements,, -   , -   , 23 , 71 , 8 , 8 , 7 , 7 , 22 , 60 , 105 , 169.4 ,
,Fire-Biomass burning,, 46 , 184 , 96 , 259 ," 1,509 "," 1,509 ", 502 , 661 ," 6,371 "," 2,933 ", 139 , 332.9 ,
,Shifting Cultivation,,,,,,,, 494 , 436 , 431 , 554 , 393 , 155.5 ,
,Deforestation,," 7,731 "," 14,655 "," 12,733 "," 11,926 "," 9,208 "," 9,208 "," 8,850 "," 9,227 "," 13,169 "," 10,786 "," 8,023 "," 6,470 ",
,Degradation,,,,,,,,,,,,,,
Degradation,Logging - volume harvested,m3," 608,730 "," 585,108 "," 624,287 "," 759,684 "," 655,406 "," 500,788 "," 533,106 "," 546,242 "," 521,172 "," 545,355 "," 547,516 "," 622,643 ",
,Logging - skid trail length,km," 2,302 "," 2,212 "," 2,360 "," 2,872 "," 2,478 "," 1,893 "," 2,016 "," 2,065 "," 1,971 "," 2,062 "," 2,070 "," 2,354 ",
,"Illegal logging (subset of logging volume, for reference only)",m3,2776," 2,306 "," 2,371 "," 2,836 "," 1,505 "," 2,249 "," 2,706 "," 3,719 "," 2,149 "," 1,281 "," 1,281 "," 2,548 ",
,Mining and Infrastructure (buffer area),ha,,,,,," 36,647 "," 31,919 "," 28,185 "," 23,028 "," 22,795 "," 26,651 "," 18,417 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,total forest area,," 18,378,300 "," 18,487,880 "," 18,475,140 "," 18,470,570 "," 18,452,160 "," 18,452,160 "," 18,442,960 "," 18,070,080 "," 18,057,340 "," 18,001,790 ","17,986,231","17,821,555",
,percent deforested,,0.042%,0.079%,0.069%,0.065%,0.050%,0.050%,0.048%,0.051%,0.073%,0.060%,0.045%,0.036%,
,% forested,,85.48,85.99,85.93,85.91,85.82,85.82,85.78,84.05,83.99,83.73,83.66,82.89,
,,,,,,total land," 21,500,000 ",,,,total land," 21,500,000 "," 21,500,000 "," 21,500,001 ",
,,,,,,% forested,85.8%,,,,% forested,83.7%,83.7%,82.9%,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Standard Error (estimated based on ratios from MRVS report accuracy assessment),,,,,,,,,,,,
,Drivers,units,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,Forestry infrastructure,ha, 28 , 36 , 44 , 25 , 37 , 37 , 36 , 65 , 39 , 29 , 50 , 29 ,
,Agriculture,, 6 , 65 , 56 , 101 , 45 , 45 , 76 , 94 , 42 , 348 , 153 , 141 ,
,Mining (medium and large scale),," 1,089 "," 2,028 "," 1,530 "," 1,286 ", 810 , 810 ," 1,180 "," 1,393 "," 1,003 "," 1,094 "," 1,042 "," 1,097 ", 834 
,Mining infrastructure,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,
,Infrastructure,, 18 , 19 , 45 , 17 , 26 , 26 , 31 , 12 , 9 , 73 , 26 , 21 ,
,Settlements,, -   , -   , 3 , 9 , 1 , 1 , 1 , 1 , 4 , 9 , 23 , 32 , 520 
,Fire-Biomass burning,, 7 , 27 , 13 , 32 , 180 , 180 , 80 , 121 ," 1,098 "," 1,204 ", 31 , 63 ,
,Shifting Cultivation,, -   , -   , -   , -   , -   , -   , 78 , 80 , 74 , 83 , 393 , 29 , 269 
,total deforestation (% SE),,15%,15%,13%,12%,12%,12%,16%,18%,17%,15%,22%,19%,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Deforestation (from accuracy assessments in MRVS reports),,,,,,,,,,,,
,Drivers,units,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,Forestry infrastructure,ha,,,,,,,,,,,,,
,Agriculture,,,,,,,,,,, 419 , 367 , 655 , 190 
,Mining (medium and large scale),,,,,,,,,,," 8,480 "," 7,199 "," 3,806 "," 5,835 "
,Mining infrastructure,,,,,,,,,,,,,,
,Infrastructure,,,,,,,,,,, 465 ,, 164 ,
,Settlements,,,,,,,,,,,, 328 ,," 1,473 "
,Fire-Biomass burning,,,,,,,,,,," 1,303 ",,,
,Shifting Cultivation,,,,,,,,,,,, 202 ,, 752 
,total deforestation,,,," 13,695 "," 12,219 ",," 16,239 "," 8,851 "," 6,983 "," 8,202 "," 10,667 "," 8,096 "," 4,625 "," 8,250 "
,,,,,,,,,,,,,,,
,,,Standard Error (from accuracy assessments in MRVS reports),,,,,,,,,,,,
,Drivers,units,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,Forestry infrastructure,ha,,,,,,,,,,,,,
,Agriculture,,,,,,,,,,, 298 , 260 , 327 , 190 
,Mining (medium and large scale),,,,,,,,,,," 1,438 "," 1,099 ", 793 , 834 
,Mining infrastructure,,,,,,,,,,,,,,
,Infrastructure,,,,,,,,,,, 329 ,, 164 ,
,Settlements,,,,,,,,,,,, 231 ,, 520 
,Fire-Biomass burning,,,,,,,,,,, 535 ,,,
,Shifting Cultivation,,,,,,,,,,,, 202 ,, 269 
,total deforestation,,,," 1,819 "," 1,506 ",," 1,940 "," 1,403 "," 1,276 "," 1,413 "," 1,597 "," 1,792 ", 874 ," 1,229 "
,,,,,,,,,,, -   ," 2,600 "," 1,792 "," 1,284 "," 1,813 "
,,,,,,,,,,,," 1,003 ", -   , 410 , 584 