,,,Change,,,,,,,,,,,,
,Drivers,units,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Deforestation,Forestry infrastructure,ha, 225 , 194 , 270 , 229 , 325 , 288 , 224 , 244 , 228 , 185 , 215 , 83 ,
,Agriculture,, 36 , 384 , 463 , 882 , 436 , 401 , 487 , 291 , 261 , 126 , 436 , 305 ,
,Mining (medium and large scale),," 8,835 "," 13,157 "," 7,687 "," 12,583 "," 7,673 "," 7,082 "," 6,619 "," 6,295 "," 5,518 "," 6,980 "," 7,303 "," 6,163 ",
,Mining infrastructure,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,Infrastructure,, 117 , 121 , 331 , 143 , 182 , 236 , 196 , 72 , 33 , 188 , 101 , 117 ,
,Settlements,, -   , -   , 25 , 73 , 7 , 7 , 7 , 9 , 29 , 53 , 110 , 210 ,
,Fire-Biomass burning,, 53 , 188 , 89 , 301 ," 1,833 "," 1,553 ", 460 , 681 ," 6,194 "," 3,364 ", 221 , 365 ,
,Shifting Cultivation,,,,,,,, 451 , 361 , 509 , 478 , 456 , 109 ,
,Deforestation,," 9,266 "," 14,044 "," 8,863 "," 14,210 "," 10,457 "," 9,568 "," 7,993 "," 7,592 "," 12,772 "," 11,373 "," 8,842 "," 7,353 ",
Degradation,Logging - volume harvested,m3," 608,730 "," 585,108 "," 624,287 "," 759,684 "," 655,406 "," 500,788 "," 533,106 "," 546,242 "," 521,172 "," 545,355 "," 547,516 "," 547,517 ",
,Logging - skid trail length,km," 2,302 "," 2,212 "," 2,360 "," 2,872 "," 2,478 "," 1,893 "," 2,016 "," 2,065 "," 1,971 "," 2,062 "," 2,070 "," 2,070 ",
,Illegal logging,m3,2776," 2,306 "," 2,371 "," 2,836 "," 1,505 "," 2,249 "," 2,706 "," 3,719 "," 2,149 "," 1,281 "," 1,281 "," 1,281 ",
,Mining and Infrastructure (buffer area),ha,,,,,," 36,647 "," 31,919 "," 28,185 "," 23,028 "," 22,795 "," 26,651 "," 26,651 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,total forest area,," 18,378,300 "," 18,487,880 "," 18,475,140 "," 18,470,570 "," 18,452,160 "," 18,452,160 "," 18,442,960 "," 18,070,080 "," 18,057,340 "," 18,001,790 ",,,
,percent deforested,,0.050%,0.076%,0.048%,0.077%,0.057%,0.052%,0.043%,0.042%,0.071%,0.063%,#DIV/0!,,
,% forested,,85.48,85.99,85.93,85.91,85.82,85.82,85.78,84.05,83.99,83.73,0.00,,
,,,,,,total land," 21,500,000 ",,,,total land," 21,500,000 "," 21,500,001 ",,
,,,,,,% forested,85.8%,,,,% forested,83.7%,0.0%,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,