Period 1,,,Period 2,,,
Year ,"Reference Data, tCO2",HFLD Score,Year,"Reference Data, tCO2",HFLD Score,
2011," 13,981,814 ", 0.804 ,2016," 13,859,559 ", 0.806 ,
2012," 18,972,107 ", 0.784 ,2017," 12,872,203 ", 0.814 ,
2013," 13,678,600 ", 0.811 ,2018," 12,386,351 ", 0.798 ,
2014," 20,337,197 ", 0.782 ,2019," 17,297,249 ", 0.769 ,
2015," 15,574,123 ", 0.802 ,2020," 15,977,326 ", 0.774 ,
,,,,,,
Calculations from TREES 2.0 section 5.2 (August 2021 revised HFLD approach),,,,,,
CL1," 16,508,768 ",,," 14,478,538 ",,
HFLD Score,0.797,,,0.793,,
Carbon Stock," 16,650,806,229 ",,," 16,244,402,664 ",,
HFLDCLn," 23,141,434 ",,," 20,915,507 ",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,"Adjusted to use 0.1% of ALL C stocks, incl. soil",,
,,,CL1," 14,478,538 ",,
,,,HFLD Score, 0.793 ,,
,,,Carbon Stock, -   ,,
,,,HFLDCLn," 14,478,538 ",,
,,,,,,