Logging Emission Factors,,,,,,,,,,
Component,Unit,Factor (tC),Std Dev (tC),90% CI (tC),t CO2,Std Dev (tCO2),90% CI (tCO2),,,
LDF ,per m3,1.05,0.68,0.08,3.85,2.49,0.29,,,
Wood Density of timber harvested,per m3,0.40,0.03,0.00,1.47,0.11,0.01,,,
LIF (Skid Trails),per km,46.87,8.08,1.60,171.84,29.63,5.87,,,
,,,,,,,,,,
,,,,,,,,,,
Degrading Activity,EF (tCO2/AD),MAD (tCO2),,,,,,,,
Forestry infrastructure,8.1,8.1,,,,,,,,
Mining (medium and large scale),8.1,8.1,,,,,,,,
Mining infrastructure,8.1,8.1,,,,,,,,
Infrastructure,8.1,8.1,,,,,,,,